,Labels,Test Support,Training_support,rsp,ras-neg,rh,k2,lwg__psp,rt,k2g,mod__wq,mk1,k1s,lwg__neg,k4,undef,k5,k2s,nmod__k1inv,lwg__rp,vmod,ras-k2,pk1,r6-k1,k1u,nmod__emph,k2u,jjmod__intf,nmod__pofinv,r6v,k2p,k4a,k3,rs,r6-k2,jk1,k7u,ras__k7,r6,rsym,k7t,ras-r6-k2,rd,pof__cn,ccof,adv,psp__cl,k7pu,pof,mod,jjmod,fragof,lwg__vaux,pof__redup,nmod__k2inv,k7a,sent-adv,ras-pof,ras-r6,ras-k7,k1,nmod__relc,k7tu,rtu,ras-k1,ras-k7p,k7p,nmod__adj,rad,rbmod__relc,nmod,lwg__vaux_cont,_,main,k7,ras-k4,rbmod,pof__inv
57,k1,2302,19332,0,0,2,29,2,0,0,0,0,20,0,12,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,11,0,1,1,0,0,0,21,0,1,0,0,23,11,1,0,0,18,0,4,0,0,0,0,1,0,0,0,0,2100,0,0,0,2,0,1,23,0,0,7,0,0,0,8,0,0,0
58,nmod__relc,129,1025,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,117,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
59,k7tu,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,rtu,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,ras-k1,70,706,0,0,2,4,0,0,0,0,0,0,0,1,0,2,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0
62,ras-k7p,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,k7p,595,4621,0,0,1,2,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,3,0,3,0,0,0,4,1,0,0,1,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,494,1,0,0,3,0,0,0,55,0,0,0
64,nmod__adj,3017,24405,0,0,0,4,7,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,144,10,1,0,0,1,15,2,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,1,2771,0,0,34,0,0,0,0,0,0,0
65,rad,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,rbmod__relc,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,nmod,698,5202,1,0,0,8,3,1,0,1,0,0,0,2,0,5,1,4,1,2,0,0,0,0,1,0,0,0,0,0,0,1,10,0,0,0,0,18,0,10,0,0,31,16,1,0,0,1,0,13,0,0,0,0,0,0,0,0,0,13,5,0,0,3,0,10,64,0,1,459,0,0,1,11,0,0,0
68,lwg__vaux_cont,727,5717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,723,0,0,0,0,0,0
69,_,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,main,1804,14089,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,16,0,0,0,3,0,0,0,6,0,0,0,1,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,1764,0,0,0,0
71,k7,1169,8690,0,0,0,1,1,0,0,0,0,1,0,0,0,7,0,0,0,2,0,0,0,4,0,1,0,0,0,0,0,3,0,0,0,0,0,8,0,39,0,1,1,5,6,0,0,2,0,3,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,127,1,0,0,2,0,0,1,948,0,0,0
72,ras-k4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,rbmod,6,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0
74,pof__inv,1,Not in training data,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
