Labels,Total,Train support,,percentage accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_,0,4,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k2g,1,38,0,0,k2s - 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k2p,48,450,0.625,62.5,k2p -30,k7p-7,k2 - 6,k7 - 3,k7pu-1,k1 -1 ,,,,,,,,,,,,,,,,,,,,,,,,,,
k2s,50,411,0.38,38,k2s - 19,k2 -9,pof-7,k1s - 4,k7t-4,vmod-3,k2g-1,rs-1,ccof-1,ras-k1 -1,,,,,,,,,,,,,,,,,,,,,,
k2u,4,40,0.5,50,k2u-2,ras-k1 - 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k3,63,522,0.253968253968254,25.4,k3 - 16,k5 - 19,rh-6,adv - 5,r6 - 4,k2 - 3,k1 - 3,ccof - 2,k4 - 2,ras-k1 - 2,jjmod -1,,,,,,,,,,,,,,,,,,,,,
k4,282,2135,0.726950354609929,72.7,k4 - 205,k2 - 41,k4a - 10,k5-6,k1 -6,ras-k1 - 6,k7 -2,k2g - 1,r6 - 1,k7t -1,adv -1,pof-1,jjmod-1,,,,,,,,,,,,,,,,,,,
k4a,27,410,0.37037037037037,37.04,k4a - 10,k4 - 13,k2 - 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k5,166,1183,0.626506024096386,62.65,k5 -104,k2-14,k4-12,rh-8,nmod -5,k7t - 3,k3 - 3,adv-3,k7 - 2,ras-k1 - 2,rd - 2,lwg_psp -2,rsp - 1,r6 - 1,ccof -1,jjmod-1,k1 - 1,k7p -1,,,,,,,,,,,,,,
k7,1169,8690,0.810949529512404,81.09,k7 - 948,k7p-127,k7t-39,r6 - 8,k5 - 7,adv-6,ccof-5,k1u-4,k3 - 3,jjmod-3,k1 - 3,vmod-2,pof-2,nmod-2,k2 - 1,lwg_psp-1,k1s-1,k2u-1,rd-1,pof_cn-1,sent-adv-1,ras-k1-1,nmod_adj-1,main-1,,,,,,,,
k7a,113,703,0.929203539823009,92.92,k7a-105,r6 - 3,lwg_psp-1,rd-1,pof_cn-1,k7p-1,nmod-1,,,,,,,,,,,,,,,,,,,,,,,,,
k7p,595,4621,0.830252100840336,83.03,k7p - 494,k7 - 55,k5 - 16,k2p-7,ccof-4,r6 - 3,k7t-3,nmod-3,sent-adv-2,k2 - 2,rh-1,adv-1,pof-1,jjmod-1,k1 - 1,nmod_adj-1,,,,,,,,,,,,,,,,
k7pu,0,6,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k7t,835,6267,0.943712574850299,94.37,k7t-788,k7 - 7,jjmod-6,k2-4,k7p-4,nmod-4,nmod-adj-3,k1 - 3,mod-2,adv-2,ccof-2,vmod-2,lwg_psp-1,rt-1,k4 - 1,pof_cn-1,pof_redup-1,,,,,,,,,,,,,,,
k7tu,1,3,0,0,k7t-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k7u,1,11,0,0,ccof-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lwg__neg,199,1945,1,100,lwg_neg - 199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lwg__psp,8143,63001,0.997543902738549,99.75,lwg_psp - 8123 ,k7 - 3,k7t - 3,k2-2,k2s-2,k3 -2,lwg_vaux -2,k1s-1,lwg_rp - 1,rd -1,pof_cn - 1,fragof - 1,nmod_adj-1,,,,,,,,,,,,,,,,,,,
lwg__rp,545,4171,0.977981651376147,97.8,lwg__rp -533,lwg_psp - 5,nmod_adj - 3,r6-1,pof_cn - 1,ccof - 1,,,,,,,,,,,,,,,,,,,,,,,,,,
lwg__vaux,1647,13494,0.982999392835458,98.3,lwg_vaux-1619,ccof-10,lwg_vaux_ cont-6,main-6,lwg_psp-3,rh-1,nmod-1,k7 - 1,,,,,,,,,,,,,,,,,,,,,,,,
lwg__vaux_cont,727,5717,0.994497936726272,99.45,lwg__vaux_cont-723,lwg_vaux-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
main,1804,14089,0.977827050997783,97.78,main-1764,ccof-16,lwg_vaux-6,pof-3,k7t-3,rt-2,rsym-2,k1 - 2,nmod_relc-2,k2 - 1,nmod_k1inv-1,sent-adv-1,nmod_adj-1,,,,,,,,,,,,,,,,,,,
mk1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mod,296,2264,0.841216216216216,84.12,mod-249,nmod_adj-21,pof_cn-13,nmod-3,k2 - 2,vmod - 1,r6 - 1,k7t-1,ccof-1,pof-1,lwg_vaux-1,k1 - 1,k7p-1,,,,,,,,,,,,,,,,,,,
mod__wq,7,72,1,100,mod_wq - 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
